year,age_gp,sex,race,edclass,tmort,lvdcmort,hlvdcmort,dmmort,ihdmort,istrmort,hyphdmort,audmort,uijmort,mvaccmort,ijmort,restmort
2000,40,1,"3-Hisp","SomeC",330.4503,25.96525,1,8.375,27.4717,0,3,2.27027,17.42675,35.2653,25.57895,183.8968
2000,40,1,"3-Hisp","College",192.9403,6.23166,0,2.09375,21.13208,0,3,4.540541,14.15924,15.42857,18.11842,108.4247
2000,40,1,"4-Others","LEHS",720.3631,58.65152,1,12.73684,83.42857,3,5.6,36.26923,45.69231,48.52941,40.64516,387.2719
2000,40,1,"4-Others","SomeC",244.1909,17.95455,1,4.631579,40,4,2.8,4.730769,11.42308,14.33823,17.41936,123.2795
2000,40,1,"4-Others","College",212.4461,2.393939,0,4.631579,20.57143,0,5.6,0,8.884615,12.13235,13.93548,144.4487
2000,40,2,"1-WNH","LEHS",7797.72,321.5593,8.888889,203.6483,540.3868,16.57143,66.81319,101.7183,212.7578,435.2693,395.7245,5495.502
2000,40,2,"1-WNH","SomeC",2775.243,114.5424,1.111111,62.25517,125.1985,9.321428,19.83517,40.90845,80.59007,159.4551,183.3593,1977.827
2000,40,2,"1-WNH","College",2046.037,59.8983,0,40.09655,67.4146,3.107143,8.351648,14.37324,52.65217,101.2755,112.9162,1585.671
2000,40,2,"2-BNH","LEHS",3378.644,94.66364,1,95.675,241.2298,19.79167,76.23763,33.15789,61.32911,78.15385,31.25581,2645.302
2000,40,2,"2-BNH","SomeC",1027.708,14.89091,0,24.725,79.70149,4.166667,25.04951,6.631579,18.29114,33.64957,10.04651,810.693
2000,40,2,"2-BNH","College",511.6484,7.445455,0,8.6,35.06866,1.041667,8.712872,2.210526,5.379747,15.19658,6.697674,422.0046
2000,40,2,"3-Hisp","LEHS",1079.761,56.86154,0,29.31429,36.78261,1,13,6,21.59091,66.31579,20.40741,827.7353
2000,40,2,"3-Hisp","SomeC",182.5683,6.092308,2,5.428571,8.173913,1,0,2,2.272727,7.368421,4.296296,144.7235
2000,40,2,"3-Hisp","College",112.6707,3.046154,0,3.257143,2.043478,2,0,1,1.136364,6.31579,4.296296,89.54118
2000,40,2,"4-Others","LEHS",418.6528,29.57143,2,6,21.53846,3,4,8.727273,10.42105,29.57143,17,288
2000,40,2,"4-Others","SomeC",125.4877,2.571429,1,5,3.230769,1,1,2.181818,4.631579,8.761905,4,91.34328
2000,40,2,"4-Others","College",156.8596,3.857143,1,3,3.230769,0,2,1.090909,6.947369,7.666667,3,124.6567
2000,45,1,"1-WNH","LEHS",19416.46,1259.709,43.52727,439.7519,3648.254,59.83784,195.2,447.6508,753.0848,931.289,1125.793,10515.18
2000,45,1,"1-WNH","SomeC",6402.139,351.1721,8.290909,153.7519,1168.166,13.2973,72.53333,123.6051,267.5009,349.0991,475.5232,3418.133
2000,45,1,"1-WNH","College",5314.397,205.1189,5.181818,121.4962,961.5801,8.864865,68.26667,85.74406,208.4143,269.6119,406.6835,2971.683
2000,45,1,"2-BNH","LEHS",6997.771,234.9821,3.75,202.0738,904.5848,18.78261,171.5139,153.6782,192.4225,211.4866,81.61682,4822.182
2000,45,1,"2-BNH","SomeC",1458.947,46.99641,1.25,51.08607,189.0684,2.086957,42.06944,28.54023,39.19718,54.78927,25.28972,978.4137
2000,45,1,"2-BNH","College",768.2813,16.02151,0,23.84016,114.3468,3.130435,19.41667,8.78161,21.38028,19.72414,16.09346,526.4046
2000,45,1,"3-Hisp","LEHS",2650.263,313.1228,7,76.69566,307.4907,8.4,33.38462,68.69621,93.27273,148.5862,80.59813,1513.292
2000,45,1,"3-Hisp","SomeC",452.9541,39.81287,1,13.84783,54.75862,3.6,5.384615,10.25316,14.9697,25.65517,17.79439,265.979
2000,45,1,"3-Hisp","College",253.7828,15.06433,1,7.456522,34.75066,0,3.230769,2.050633,5.757576,11.75862,13.60748,158.7294
2000,45,1,"4-Others","LEHS",793.5928,54.64516,3,20.64286,109.5648,1.333333,5.6,29.29167,44.49152,37.63636,38.12766,452.2095
2000,45,1,"4-Others","SomeC",298.3522,18.62903,1,7.285714,54.21762,4,2.8,4.625,19.0678,17.56364,9.531915,158.6909
2000,45,1,"4-Others","College",314.055,3.725806,3,6.071429,54.21762,2.666667,5.6,3.083333,11.44068,13.8,16.34043,192.0995
2000,45,2,"1-WNH","LEHS",9814.229,405.5958,8,303.516,853.7491,35.30769,79.69231,100.987,202.2741,317.8634,301.5,7206.116
2000,45,2,"1-WNH","SomeC",3866.921,125.6924,8,106.0731,301.0702,10.38461,26.92308,36.81818,66.69579,149.3958,167.1474,2867.968
2000,45,2,"1-WNH","College",3190.849,69.71178,1,50.41096,131.1806,8.307693,19.38461,24.19481,94.03012,137.7408,134.3526,2520.916
2000,45,2,"2-BNH","LEHS",4218.117,130.5161,2,168.2593,424.1851,18.21428,128.5988,39.23077,60.78873,81.15254,15.26087,3150.584
2000,45,2,"2-BNH","SomeC",1369.977,29.6129,0,46.98148,131.5302,9.642858,39.23353,5.230769,16.3662,27.76271,5.869565,1056.821
2000,45,2,"2-BNH","College",731.9057,9.870968,1,20.75926,60.2847,2.142857,14.16766,6.538462,5.84507,17.08475,5.869565,588.595
2000,45,2,"3-Hisp","LEHS",1299.649,62.32394,2,59.94366,77.20482,5.714286,9.75,8.555555,14.82353,58.30137,22.30769,978.7585
2000,45,2,"3-Hisp","SomeC",215.2016,8.450705,1,12.84507,4.289156,1.142857,2.166667,1.222222,2.117647,16.65753,3.346154,161.7262
2000,45,2,"3-Hisp","College",118.1499,4.225352,0,3.211268,7.506024,1.142857,1.083333,1.222222,1.058824,1.041096,3.346154,94.5153
2000,45,2,"4-Others","LEHS",498.7935,27.6,3,12.83333,34.20513,4,3,9,15,18.45714,10.5,361.9868
2000,45,2,"4-Others","SomeC",184.1184,12,1,7,7.076923,1,3,0,3,14.11429,1.3125,134.6414
