year,age_gp,sex,race,edclass,Tmort,MVACCmort,OPDPOImort,ALCPOImort,UIJmort,SIJmort,OTHJmort,COVIDmort,FLUmort,OTHINFmort,HEARTmort,CANCERmort,STROKEmort,RESPmort,ALZHmort,DMmort,KIDNEYmort,LIVERmort,AUDmort,OTHNCDmort,RESTmort,tpop,Trate,MVACCrate,OPDPOIrate,ALCPOIrate,UIJrate,SIJrate,OTHJrate,COVIDrate,FLUrate,OTHINFrate,HEARTrate,CANCERrate,STROKErate,RESPrate,ALZHrate,DMrate,KIDNEYrate,LIVERrate,AUDrate,OTHNCDrate,RESTrate
2000,"30:30-34",1,"1-WNH","SomeC",1644.712,270.7147,67.37614,8.390244,163.9355,314.2698,58.94872,0,17.5,4.085106,138.2968,182.5604,17.90476,8.205129,0,31.78808,7.6,19.59292,14.4375,154.6625,163.619,1443120,113.9692,18.75899,4.668783,.5813961,11.3598,21.77711,4.084811,0,1.21265,.2830746,9.583181,12.6504,1.240698,.5685687,0,2.202733,.5266367,1.357678,1.000437,10.71723,11.33787
2000,"30:30-34",1,"2-BNH","SomeC",547.2782,67.04082,9.107142,0,27.75419,37.7451,96.2653,0,6.4,7,60.21317,26.56,8.489796,3.416667,0,11.15385,6.851852,3.136364,2.222222,47.88963,126.9249,245040,223.3424,27.35913,3.716594,0,11.32639,15.40365,39.28555,0,2.611819,2.856677,24.57279,10.83905,3.464657,1.39433,0,4.551847,2.796218,1.27994,.9068815,19.5436,51.79763
2000,"30:30-34",1,"3-Hisp","SomeC",216.9966,25.47239,9.5625,2.6,19.36607,32.58537,10.94545,0,3.1875,4.296296,14.05405,21.5873,7.341464,1,0,6.4,1,3.234375,4.444445,11.52381,37.64151,225595,96.18856,11.2912,4.238791,1.152508,8.584442,14.44419,4.851816,0,1.41293,1.904429,6.229772,9.569052,3.254267,.4432722,0,2.836942,.4432722,1.433709,1.970099,5.108185,16.68544
2000,"30:30-34",1,"4-Others","SomeC",93.03138,17.88461,3.545455,3.375,3.75,15.67164,8.711111,0,1,0,6.666667,11.43137,1,1.333333,0,1,0,1.166667,2,1.04,13.55556,131175,70.92158,13.63416,2.702843,2.572899,2.858776,11.94713,6.640832,0,.7623404,0,5.082269,8.714597,.7623404,1.016454,0,.7623404,0,.8893971,1.524681,.792834,10.33395
2000,"30:30-34",1,"1-WNH","4+yrs",1147.894,166.0242,33.68807,5.243902,152.2258,185.1758,35.36923,0,4.375,7.148936,95.07906,188.7841,12.30952,5.128205,0,15.89404,2.171429,11.97345,7.21875,111.4003,106.5677,2097302,54.73194,7.916086,1.606258,.2500308,7.258173,8.829239,1.686416,0,.2086013,.3408635,4.533399,9.001282,.5869219,.2445144,0,.7578327,.1035344,.5708978,.3441922,5.311598,5.081179
2000,"30:30-34",1,"2-BNH","4+yrs",223.9868,27.66764,2.023809,0,10.40782,8.006536,19.46939,0,1.28,3.5,24.73041,23.24,1.061224,3.416667,0,4.461538,6.851852,2.090909,0,30.07023,57.2847,181560,123.368,15.23884,1.114678,0,5.732442,4.409856,10.72339,0,.7050011,1.927737,13.62107,12.80018,.5845035,1.881839,0,2.457335,3.773877,1.151635,0,16.56215,31.55139
2000,"30:30-34",1,"3-Hisp","4+yrs",85.51589,11.67485,2.125,1.3,10.75893,12.21951,5.472727,0,0,1.074074,4.324324,7.555555,2.097561,0,0,1.066667,0,1.078125,0,8.380953,16.13208,158063,54.10241,7.386199,1.344401,.8224568,6.806734,7.730786,3.462371,0,0,.6795228,2.735823,4.780091,1.327041,0,0,.6748365,0,.6820856,0,5.302286,10.20611
2000,"30:30-34",1,"4-Others","4+yrs",91.88284,14.30769,2.363636,0,13.75,6.716418,6.533333,0,0,0,10,19.7451,2,0,0,0,1.5,2.333333,0,3.12,9.488889,339466,27.06688,4.214765,.6962807,0,4.050479,1.978524,1.924591,0,0,0,2.945803,5.816517,.5891606,0,0,0,.4418705,.687354,0,.9190905,2.79524
2000,"30:30-34",2,"1-WNH","LEHS",2635.724,336.5209,106.1633,8.8,199.218,201.4945,152.2275,0,44.91228,31.30435,227.88,436.0928,57.16854,29.65909,1,56.89655,17.84615,60.12195,17.28,395.4096,258.6346,2787189,94.56566,12.07385,3.808973,.3157303,7.147633,7.229309,5.461685,0,1.611383,1.123151,8.17598,15.64633,2.051118,1.064122,.0358784,2.04136,.6402922,2.157082,.6199795,14.18668,9.279405
2000,"30:30-34",2,"2-BNH","LEHS",1494.447,77.78181,20.45455,2,63.56757,20.26667,113.1387,0,18.15789,23.4,171.5294,169.0684,39.66102,17.14286,0,37.125,23.8,19.44,5,241.5016,432.3347,765600,195.1994,10.15959,2.671701,.261233,8.302974,2.647161,14.77778,0,2.371721,3.056426,22.40457,22.08312,5.180384,2.23914,0,4.849138,3.108673,2.539185,.6530825,31.5441,56.47005
2000,"30:30-34",2,"3-Hisp","LEHS",553.4271,66.8764,17.85,1,14,15,42.67347,0,10,9,35.47826,110.365,19.38461,4,0,8.8,9,11,1,78.75,99.70271,1023804,54.05597,6.532149,1.743498,.0976749,1.367449,1.465124,4.168129,0,.9767495,.8790745,3.465337,10.77989,1.893391,.3906998,0,.8595396,.8790745,1.074424,.0976749,7.691902,9.738457
2000,"30:30-34",2,"4-Others","LEHS",160.7659,25.53192,7,0,7.933333,11,11.17647,0,0,3,9.45,28.4026,5,3,0,1,2,12,0,21.12121,15.26087,254734,63.11128,10.02297,2.747965,0,3.11436,4.31823,4.387506,0,0,1.177699,3.709752,11.1499,1.962832,1.177699,0,.3925664,.7851327,4.710796,0,8.291477,5.990904
2000,"30:30-34",2,"1-WNH","SomeC",966.825,138.9506,35.38776,1.1,48.72181,106.5495,41.70616,0,8.982456,11.47826,70.2,220.1531,19.41573,9.204545,0,18.62069,8.923077,21.76829,7.56,118.845,77.91502,1582843,61.08155,8.778544,2.235708,.0694952,3.07812,6.731524,2.634889,0,.5674888,.7251674,4.435058,13.90872,1.226637,.5815198,0,1.176408,.5637373,1.375265,.4776216,7.508326,4.922473
2000,"30:30-34",2,"2-BNH","SomeC",444.5078,34.94545,4.545455,0,14.75676,7.466667,31.67883,0,4.842105,10.02857,52.77828,67.17949,20.9322,5.714286,0,13.5,9.066667,5.4,3,75.18446,82.83579,330481,134.5033,10.57412,1.375406,0,4.465236,2.259333,9.585674,0,1.465169,3.034538,15.97014,20.32779,6.33386,1.729082,0,4.084955,2.743476,1.633982,.9077678,22.75001,25.06522
