year,age_gp,sex,race,edclass,tmort,mvaccmort,opioidmort,alcpoimort,uijmort,sijmort,othjmort,covmort,flumort,othinfmort,heartmort,cancermort,strokemort,respmort,dementiamort,dmmort,kidneymort,livermort,audmort,othncdmort,restmort
2000,40,1,"3-Hisp","SomeC",330.4503,35.2653,11.8209,.6666667,25.93365,25.57895,13.12,0,2.258065,14.33333,41.12085,39.43396,6.418605,1.444444,0,8.375,3.24,26.97744,2.216216,23.60976,48.5148
2000,40,1,"3-Hisp","College",192.9403,15.42857,2.149254,.6666667,17.2891,18.11842,7.653333,0,3.387097,3.071429,32.6858,30.09434,3.209302,0,0,2.09375,0,6.225564,4.432433,16.09756,30.58542
2000,40,1,"4-Others","LEHS",720.3631,48.52941,18,0,56.375,40.64516,28.75,0,12.46154,10.125,125.2198,111.7861,22.05128,6,2,12.73684,8.555555,59.55882,35.38462,54.54546,70.36364
2000,40,1,"4-Others","SomeC",244.1909,14.33823,6,0,14.09375,17.41936,12.65,0,5.538462,3.375,50.7967,35.47059,9.923077,1,0,4.631579,1.222222,19.05882,4.615385,15,29.45455
2000,40,1,"4-Others","College",212.4461,12.13235,3,0,11.53125,13.93548,4.6,0,0,4.5,38.98352,53.74332,11.02564,1,0,4.631579,1.222222,2.382353,0,20.45455,26.18182
2000,40,2,"1-WNH","LEHS",7797.72,435.2693,229.1824,9.818182,364.0136,395.7245,181.117,0,110.4361,129.5706,1027.323,2226.805,286.8907,154.3646,7,203.6483,66.42223,330.3202,91.87023,997.4538,557.9315
2000,40,2,"1-WNH","SomeC",2775.243,159.4551,56.76014,1.090909,117.0427,183.3593,64.30189,0,28.7594,26.99387,282.433,957.6524,109.8504,38.0625,0,62.25517,15.24444,115.7173,39.84733,369.7084,145.2727
2000,40,2,"1-WNH","College",2046.037,101.2755,31.05743,1.090909,71.94369,112.9162,38.58113,0,13.80451,19.43558,169.2442,975.5426,52.25891,10.57292,0,40.09655,16.33333,59.96258,13.28244,216.8378,95.79578
2000,40,2,"2-BNH","LEHS",3378.644,78.15385,53.65079,0,112.0142,31.25581,139.6868,0,48.47273,54.85714,574.2569,683.5777,194.7087,66.62069,1,95.675,51.6,95.67567,33.24324,475.7935,588.225
2000,40,2,"2-BNH","SomeC",1027.708,33.64957,9.285714,1,29.58865,10.04651,34.92169,0,7.890909,11.42857,175.7706,281.9895,68.59055,20.09195,0,24.725,10.8,14.88288,5.540541,169.8459,117.1985
2000,40,2,"2-BNH","College",511.6484,15.19658,2.063492,0,7.397163,6.697674,12.39157,0,5.636364,5.714286,82.97248,185.4328,17.70079,5.287356,0,8.6,9.6,7.441442,2.216216,84.36056,53.57647
2000,40,2,"3-Hisp","LEHS",1079.761,66.31579,12.92308,0,29.15152,20.40741,35.65854,0,13,24.64286,100.4297,329.1667,60,17.85,1,29.31429,6,57.69697,6,134.5061,135.8344
2000,40,2,"3-Hisp","SomeC",182.5683,7.368421,1.076923,0,5.606061,4.296296,5.243902,0,1,4.285714,15.3719,59.375,12,2.1,0,5.428571,1,7.212121,2,30.2378,18.95364
2000,40,2,"3-Hisp","College",112.6707,6.31579,0,0,2.242424,4.296296,2.097561,0,0,1.071429,8.198347,61.45833,8,1.05,0,3.257143,0,3.090909,1,6.256098,4.211921
2000,40,2,"4-Others","LEHS",418.6528,29.57143,4.8,0,13.3913,17,13.6,0,12,7.2,36.66667,133.1707,18.16216,8.727273,0,6,7,31.25,8.727273,45.76119,27.05882
2000,40,2,"4-Others","SomeC",125.4877,8.761905,1.2,0,7.304348,4,1.133333,0,0,2.4,13.33333,43.02439,12.48649,2.181818,0,5,0,3.75,2.181818,13.07463,5.882353
2000,40,2,"4-Others","College",156.8596,7.666667,0,0,7.304348,3,2.266667,0,3,2.4,10,75.80488,11.35135,1.090909,0,3,1,5,1.090909,14.16418,7.058824
2000,45,1,"1-WNH","LEHS",19416.46,931.289,500.0783,17.23077,966.1558,1125.793,315.2958,0,211.0938,453.5726,4813.03,3963.786,487.4884,354.0745,11.78571,439.7519,142.2591,1303.376,428.4128,1777.475,1180.738
2000,45,1,"1-WNH","SomeC",6402.139,349.0991,152.4759,4.307693,318.1114,475.5232,80.19718,0,35,141.4715,1550.664,1419.721,145.3721,60.97356,2.142857,153.7519,42.03109,359.3671,119.3754,580.9096,409.2205
2000,45,1,"1-WNH","College",5314.397,269.6119,55.44578,6.461538,240.7329,406.6835,72.50704,0,33.90625,66.95596,1304.307,1361.493,119.1395,29.95192,1.071429,121.4962,23.70984,210.2566,79.21175,488.6156,419.0418
2000,45,1,"2-BNH","LEHS",6997.771,211.4866,162.8827,5,272.2654,81.61682,242.963,0,99.44554,148.3034,1531.906,1227.211,332.5191,97.22222,3,202.0738,152.5671,238.7597,148.8253,719.7344,1121.82
2000,45,1,"2-BNH","SomeC",1458.947,54.78927,30.81564,3,54.45308,25.28972,59.63636,0,19.64356,30.98876,328.3455,286.752,68.29517,20.29914,1,51.08607,27.95122,48.18021,25.35542,146,173.9347
2000,45,1,"2-BNH","College",768.2813,19.72414,3.301676,0,31.28155,16.09346,25.40067,0,4.910891,17.70786,192.7489,134.0373,39.18575,7.478632,1,23.84016,10.48171,16.06007,8.819277,83.26563,134.2449
2000,45,1,"3-Hisp","LEHS",2650.263,148.5862,93.59574,2,117.4844,80.59813,78.71739,0,33.825,76.32,416.3004,405.7864,118.209,15,2,76.69566,24.77419,320.0741,66.68831,232.1423,342.8479
2000,45,1,"3-Hisp","SomeC",452.9541,25.65517,6.765957,0,19.39063,17.79439,14.41304,0,4.1,22.26,73.09091,80.73786,19.34328,4,0,13.84783,3.096774,40.81482,10.25974,42.98932,53.67268
2000,45,1,"3-Hisp","College",253.7828,11.75862,5.638298,0,9.125,13.60748,8.869565,0,3.075,7.42,46.6087,53.47573,6.447761,2,0,7.456522,4.129032,16.11111,2.051948,26.86833,28.47938
2000,45,1,"4-Others","LEHS",793.5928,37.63636,24.16667,1,47.93846,38.12766,18.75862,0,13.57143,20.1875,156.0478,156.6316,28.01724,16.95652,0,20.64286,0,57.21739,28.17391,67.29214,70.5
2000,45,1,"4-Others","SomeC",298.3522,17.56364,3.222222,0,20.18462,9.531915,4.689655,0,1.357143,9.5,66.5498,58.73684,22.41379,6.782609,0,7.285714,1,19.47826,4.695652,21.58427,21
2000,45,1,"4-Others","College",314.055,13.8,1.611111,0,13.87692,16.34043,10.55172,0,4.071429,8.3125,65.40239,94.63158,14.56897,2.26087,1,6.071429,1,7.304348,3.130435,24.1236,19.5
2000,45,2,"1-WNH","LEHS",9814.229,317.8634,162.8584,8,296.9289,301.5,141.519,0,154.5911,165.7114,1413.337,3643.78,375.3073,295.4902,21.81482,303.516,83.25,413.4062,92.92308,1120.313,509.6154
